"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666480446.927374","737988826.815642","763687150.837989","837988826.815642","895173184.357542","925245810.055866","925245810.055866","956497206.703911","1017039106.14525","1087854748.60335","1148513966.48045","1228245810.05587","1319849162.01117","1476737430.1676","1517117318.43575","1419871508.37989","1452949720.67039","1603765363.12849","","","","","","",
"Afghanistan","AFG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444445","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","4632661076.11139","5691194729.63793","6542344840.42954","7401162619.43237","7961441019.33336","10801817540.9438","10689890653.0004","12296746078.31","15507534983.8536","16318337639.7131","17188456508.6147","16199410299.9114","16908018417.4031","16202253853.4243","16364064439.5628","",
"Angola","AGO","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","3342245989.30481","3342245989.30481","3342245989.30481","3342245989.30481","3342245989.30481","3342245989.30481","4544479089.08441","3279399068.52177","1765934822.94296","1108107577.41372","","","","","","1018408925.87744","3923830541.43867","6211779408.31882","7534564775.36079","10767595467.6364","10970638751.4327","10601619299.1996","24647857210.8346","34981861411.0516","51159096008.7333","39974560881.4252","46155769746.6754","47608717057.0243","61459712821.2992","73905459073.2271","78210122046.5981","74434627139.9992","93189340617.3493",
"Albania","ALB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","1169370651.42459","1182331059.46525","1309162500","1337825025","1370649987.5","1453374975","1271486850","1036054826.38889","1079374622.9967","1468051508.63442","1903197900.5171","2191517724.85774","3232478087.32915","2297095141.10429","2495135322.83673","2823903391.021","2780575459.69668","2861954974.94083","3318805978.10062","4320930436.08577","5704685139.66023","6364888962.98499","6948730871.71291","8587894755.93263","10641641049.6027","9672239661.56409","9254811675.21677","10028502358.888","9543667903.7497","10160138085.3555","10614865036.8983","9102498555.10603","9560144964.31071","10429640041.0748",
"Andorra","AND","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","19833526469.0982","21937877571.9908","25087514088.1045","28899963017.1126","37515243710.9309","49724399057.8229","58253177232.5951","78161452134.2248","90432019682.1213","112484069665.826","134829779445.356","150043609084.05","166894794424.475","171661353673.228","181426760141.912","189081924279.797","193270924673.409","204193567466.351","202093160725.196","224486256923.881","267361281919.391","264064432864.195","274000966408.266","293976882913.83","296167682619.529","317508719109.817","341135407342.756","358393148891.036","367612152060.933","373953034048.166","377180280909.674","379623995877.84","385450244015.872","407011712153.867","454502809636.155","512128905762.836","595153695747.719","719297773759.733","866335487978.779","881548740410.354","954326526969.222","1019526699025.01","1132945770360.59","1229067494560.01","1328877647545.03","1332405071248.88","1345419062897.51","1335647986398.69",
"United Arab Emirates","ARE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61087542545.9496","67397140912.1852","72834581347.8557","89820830496.9367","101765010211.028","124444656228.727","155274063989.108","184182981620.15","132573723621.511","141184751531.654","137079101429.544","123074744724.302","132667665078.285","147912593601.089","126709326072.158","129198910823.69","133570047651.464",
"Argentina","ARG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","16395100920.6536","13112305455.0693","17583550655.2055","19106470077.1627","19179524090.0761","16142121567.5792","17818286029.1255","20788000652.075","20514474652.8526","22087199393.1043","23061625752.1497","34502333869.7978","46339887781.9045","30479729906.697","28960251673.5518","32792999466.8785","33769836090.145","43597131259.9852","","","","","","","","83810953046.2784","93037499273.339","56337114317.025","109038330772.079","152618772836.917","187278415202.907","165334830930.931","180006750000","176908500000","186487250000","203028750000","206434000000","198869500000","197044250000","185164250000","60489589195.2729","80632148796.796","105926917928.179","125262782955.786","147139416222.713","179796371906.655","228051225933.264","209702422221.036","272113324478.662","340472562735.7","354361120355.997","364267951166.433","344124011884.784","391974496653.948","365612177575.856","417439832723.43",
"Armenia","ARM","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1097242665.01944","1184944606.91268","1198033684.9616","1121936841.55067","1240030817.49942","1558290686.86697","1601934605.86319","1692912679.50934","1891036668.38454","1772486693.50607","1856637674.89774","1981831513.71023","2116950902.59004","2337817785.99444","2949840097.47868","3699756973.5992","4612802747.04091","6594565116.66454","8346519946.11226","6950459324.71985","7593167059.40285","8485801779.27087","9256248444.36037","9694642206.28735","9931611575.11616","8240058394.91813","8151773342.19654","8915678439.76298",
"American Samoa","ASM","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312000000","332000000","357000000","367000000","375000000","383000000","407000000","398000000","402000000","414000000","424000000","447000000","455000000","442000000","437000000","",
